Date,Dividends
2005-11-24,3.0
2015-06-08,0.61
2011-09-19,0.57
2002-06-04,0.53
2010-05-27,1.14
2014-12-15,0.61
2015-03-23,0.61
2019-06-11,0.64
2012-09-24,0.57
2019-03-19,0.64
2020-01-06,0.66
2002-05-17,3.8
2018-12-18,0.64
2016-09-27,0.61
2006-05-18,0.225
2008-11-14,1.14
2003-05-28,0.58
2004-11-24,3.6
2016-06-06,0.61
2011-05-23,1.14
2012-06-18,0.57
2013-12-16,0.59
2014-03-24,0.59
2018-03-19,0.62
2013-09-24,0.59
2003-05-16,4.1
2000-06-14,2.35
2013-06-24,0.59
2007-05-14,1.8
2017-09-25,0.62
2017-12-19,0.62
2007-05-18,1.0
2007-11-16,1.0
2004-05-24,4.7
2008-05-20,1.07
2017-06-05,0.62
2013-03-18,0.59
2012-12-17,0.59
2017-03-20,0.61
2014-09-23,0.61
2018-09-25,0.64
2016-12-21,0.61
2004-05-19,0.63
2010-11-12,1.14
2006-11-17,0.87
2005-05-24,3.0
2009-05-19,1.14
2001-05-29,3.3
2012-03-19,0.57
2011-12-19,0.57
2018-06-11,0.62
2016-03-21,0.61
2015-12-21,0.61
2015-09-28,0.61
2005-05-18,0.7
2014-06-02,0.61
2009-11-13,1.14
2019-09-27,0.66
