Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,51.573399,51.685101,49.250500,49.808899,22.440145,1078214
2000-01-04,49.585499,49.674900,48.714401,49.585499,22.339497,2529529
2000-01-05,48.692101,49.585499,48.714401,49.138802,22.138252,1233422
2000-01-06,48.803799,49.585499,48.580399,48.692101,21.936996,1221424
2000-01-07,48.468700,49.362202,48.468700,48.692101,21.936996,866416
2000-01-10,49.585499,49.764198,48.468700,48.468700,21.836359,920539
2000-01-11,49.518501,49.362202,47.910301,48.692101,21.936996,1566694
2000-01-12,48.227501,48.888599,47.691399,47.905899,21.582800,1272105
2000-01-13,48.133701,48.580399,46.927601,47.128601,21.232603,2081088
2000-01-14,47.351898,48.781399,47.262600,47.798599,21.534456,1473212
2000-01-17,49.250500,49.138802,46.570202,47.307301,21.313114,1758525
2000-01-18,47.351898,47.351898,46.458500,46.458500,20.930710,1332179
2000-01-19,46.480801,46.882900,46.011799,46.235100,20.830063,1511451
2000-01-20,46.458500,46.681900,45.587399,46.145802,20.789835,1396004
2000-01-21,45.565102,45.632099,44.113201,44.381302,19.994883,3121945
2000-01-24,44.783298,45.431000,44.649300,45.006699,20.276634,1526288
2000-01-25,44.783298,45.006699,43.465500,43.800499,19.733213,1482659
2000-01-26,44.247299,44.604599,43.778198,43.912201,19.783539,956325
2000-01-27,43.778198,44.448299,43.621799,44.224899,19.924421,1098227
2000-01-28,45.118401,46.101101,44.671600,45.900101,20.679138,1306467
2000-01-31,46.480801,46.458500,45.364101,45.922401,20.689186,924846
2000-02-01,47.195599,47.128601,45.922401,46.279800,20.850203,1564662
2000-02-02,47.016899,47.396599,46.570202,46.972198,21.162146,1060642
2000-02-03,46.815899,47.374298,45.587399,45.699100,20.588583,2220519
2000-02-04,45.699100,45.565102,44.001598,44.805599,20.186039,2009714
2000-02-07,45.609699,45.766102,44.470600,44.515301,20.055252,943583
2000-02-08,44.671600,46.413799,44.560001,44.671600,20.125669,1422106
2000-02-09,44.493000,44.560001,43.331501,43.554901,19.622566,2053419
2000-02-10,43.018799,44.269600,42.884800,43.934601,19.793633,1361432
2000-02-11,44.604599,45.721401,43.711201,44.314301,19.964699,1718473
2000-02-14,44.224899,44.224899,43.331501,43.554901,19.622566,783249
2000-02-15,43.219799,44.582298,42.929401,43.443199,19.572235,929614
2000-02-16,42.929401,44.895000,42.929401,44.515301,20.055252,2037176
2000-02-17,44.537601,46.413799,44.224899,45.654400,20.568441,2495046
2000-02-18,45.319401,46.547901,44.962002,45.565102,20.528208,1761449
2000-02-21,45.341702,45.408699,44.403599,45.341702,20.427568,654621
2000-02-22,45.341702,46.011799,44.939701,44.895000,20.226309,1275525
2000-02-23,46.011799,47.575298,45.341702,47.016899,21.182278,1828212
2000-02-24,47.798599,48.245399,46.704201,47.217899,21.272835,1872674
