Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,41.791698,42.500000,40.833302,41.250000,28.487318,2006460
2000-01-04,41.083302,41.083302,38.250000,39.291698,27.134909,3392856
2000-01-05,37.208302,37.208302,34.000000,34.549999,23.860283,4344624
2000-01-06,34.500000,36.333302,34.500000,35.670799,24.634314,2219904
2000-01-07,39.166698,43.250000,38.666698,43.250000,29.868517,7155936
2000-01-10,45.541698,46.250000,44.166698,45.016701,31.088604,6147864
2000-01-11,45.833302,46.666698,45.083302,46.458302,32.084179,8563176
2000-01-12,45.783298,48.041698,44.875000,47.416698,32.746044,6200748
2000-01-13,46.750000,50.500000,46.750000,47.916698,33.091347,4962276
2000-01-14,49.083302,50.000000,48.416698,49.000000,33.839481,3086964
2000-01-17,47.833302,48.250000,45.416698,48.250000,33.321529,3602808
2000-01-18,48.329201,50.750000,45.416698,46.166698,31.882803,6462900
2000-01-19,44.833302,45.791698,44.570801,45.750000,31.595024,2985264
2000-01-20,45.866699,47.250000,45.666698,46.908298,32.394947,2750544
2000-01-21,46.583302,47.083302,46.291698,46.666698,32.228100,1566540
2000-01-24,43.916698,48.500000,43.916698,48.416698,33.436646,2691036
2000-01-25,47.833302,48.666698,47.083302,47.083302,32.515804,8500104
2000-01-26,47.741699,47.916698,46.000000,47.916698,33.091347,2810376
2000-01-27,48.750000,50.708302,47.883301,50.708302,35.019238,13612896
2000-01-28,50.000000,53.166698,49.583302,51.625000,35.652313,9352440
2000-01-31,50.575001,50.666698,47.516701,48.083302,33.206402,3506256
2000-02-01,49.000801,50.833302,48.333302,50.833302,35.105556,3908232
2000-02-02,50.458302,51.500000,50.416698,51.408298,35.502659,5514156
2000-02-03,51.250000,54.000000,50.750000,52.291698,36.112732,6492780
2000-02-04,51.916698,53.500000,51.916698,52.666698,36.371696,7154820
2000-02-07,53.166698,54.416698,52.416698,52.637501,36.351543,6148332
2000-02-08,53.000000,56.333302,52.250000,55.950001,38.639160,6539976
2000-02-09,56.666698,57.833302,55.666698,57.474998,39.692318,3582540
2000-02-10,55.266701,55.833302,53.333302,55.833302,38.558563,4583628
2000-02-11,56.000000,56.125000,54.533298,54.625000,37.724113,2919528
2000-02-14,53.333302,54.333302,52.170799,54.250000,37.465137,2939724
2000-02-15,53.417500,53.666698,51.933300,51.933300,35.865211,2810700
2000-02-16,52.250000,55.000000,52.250000,54.583302,37.695309,4205016
2000-02-17,53.250000,56.250000,53.250000,55.791698,38.529839,4771332
2000-02-18,56.083302,56.666698,55.666698,55.750000,38.501041,2274840
2000-02-21,55.625000,55.833302,52.500000,54.433300,37.591721,2119644
2000-02-22,54.375000,55.329201,53.666698,54.724998,37.793167,2137644
2000-02-23,55.666698,55.875000,54.166698,54.958302,37.954292,3825504
2000-02-24,55.250000,57.333302,53.750000,53.750000,37.119831,4170924
2000-02-25,55.000000,56.916698,54.666698,56.916698,39.306763,2563668
2000-02-28,56.083302,56.583302,54.250000,54.766701,37.821976,2452500
2000-02-29,54.750000,56.125000,53.375000,54.833302,37.867962,2788524
2000-03-01,56.166698,57.983299,55.500000,57.904202,39.988728,2804616
2000-03-02,57.500000,58.500000,56.916698,57.941700,40.014626,2340432
2000-03-03,58.316700,62.291698,58.012501,60.916698,42.069176,3152304
2000-03-06,62.424999,69.333298,62.424999,68.324997,47.185349,8724924
2000-03-07,68.158302,71.583298,66.250000,71.583298,49.435535,4824072
2000-03-08,69.833298,69.833298,65.500000,65.500000,45.234402,2632716
2000-03-09,65.833298,69.166702,65.000000,66.641701,46.022861,1878156
2000-03-10,68.333298,69.416702,66.583298,66.750000,46.097652,2311344
2000-03-13,66.341698,66.341698,61.500000,62.916698,43.450375,1628136
2000-03-14,63.166698,64.083298,61.750000,62.083302,42.874828,1178748
2000-03-15,61.250000,62.916698,56.583302,57.583302,39.767117,1535400
2000-03-16,56.083302,56.833302,52.500000,52.500000,36.256588,3593628
2000-03-17,55.166698,56.833302,53.041698,56.083302,38.731220,3266064
2000-03-20,56.573299,62.325001,55.750000,62.224998,42.972679,1274940
2000-03-21,61.250000,61.250000,57.916698,58.575001,40.451984,2087424
2000-03-22,60.906700,60.906700,59.091702,59.624199,41.176567,1218852
